Query,Clicks - organic,Clicks - paid,CTR - organic,CTR - paid,Impressions - organic,Impressions - paid,Average position - organic,Cost,Conversions - paid,Conv. value - paid
"pdf converter","523","245","8.2%","3.5%","6378","7000","1.2","$198.30","12","$480.00"
"convert pdf to word","412","189","7.5%","2.8%","5493","6750","1.5","$156.70","8","$320.00"
"pdf to jpg","389","312","6.9%","4.2%","5638","7428","2.1","$245.60","15","$600.00"
"heic to jpg converter","0","523","0%","5.8%","0","9017","0","$412.30","22","$880.00"
"webp to png chrome extension","234","98","12.3%","7.2%","1902","1361","1.8","$78.90","5","$200.00"
"compress pdf chrome","178","234","5.8%","4.1%","3069","5707","2.5","$189.20","10","$400.00"
"merge pdf files","456","298","8.1%","3.9%","5630","7641","1.3","$241.30","14","$560.00"
"split pdf online","123","178","4.2%","3.1%","2928","5742","3.2","$143.20","7","$280.00"
"excel to pdf converter","0","234","0%","4.5%","0","5200","0","$187.30","9","$360.00"
"word to pdf chrome","567","456","9.8%","5.2%","5786","8769","1.1","$367.80","18","$720.00"
"powerpoint to pdf","89","167","3.2%","2.9%","2781","5759","4.5","$134.50","6","$240.00"
"jpg to pdf converter","234","423","5.1%","4.8%","4588","8812","2.8","$341.20","17","$680.00"
"png to jpg online","345","267","6.2%","3.7%","5564","7216","2.3","$215.30","11","$440.00"
"svg to png converter","0","118","0%","2.1%","0","5619","0","$95.20","4","$160.00"
"pdf editor chrome extension","678","523","11.2%","6.3%","6053","8301","1.0","$423.40","24","$960.00"
"convert heic to jpg free","0","389","0%","4.9%","0","7939","0","$312.40","16","$640.00"
"reduce pdf size","234","298","4.8%","3.6%","4875","8278","3.1","$241.30","12","$480.00"
"pdf compressor online","156","234","3.9%","3.2%","4000","7312","3.8","$189.60","9","$360.00"
"combine pdf chrome","423","356","7.6%","4.4%","5565","8091","1.6","$287.90","15","$600.00"
"extract pdf pages","78","156","2.8%","2.5%","2785","6240","5.2","$125.40","5","$200.00"
"pdf to excel converter","0","298","0%","4.1%","0","7268","0","$239.80","13","$520.00"
"docx to pdf","456","389","8.2%","4.7%","5560","8276","1.4","$314.50","16","$640.00"
"pptx to pdf online","0","234","0%","3.3%","0","7090","0","$188.70","8","$320.00"
"image to pdf chrome","234","356","5.4%","4.2%","4333","8476","2.7","$287.60","14","$560.00"
"pdf merger chrome extension","567","423","9.1%","5.1%","6231","8294","1.2","$341.90","18","$720.00"
"pdf splitter online free","0","267","0%","3.5%","0","7628","0","$215.30","10","$400.00"
"convert files chrome","789","612","10.5%","5.8%","7514","10551","1.0","$494.70","28","$1120.00"
"batch pdf converter","0","456","0%","5.2%","0","8769","0","$368.40","19","$760.00"
"pdf tools chrome extension","912","723","11.8%","6.9%","7728","10478","1.0","$584.60","32","$1280.00"
"online file converter","234","567","3.8%","4.5%","6157","12600","3.5","$458.30","23","$920.00"
