Keyword,Ad Group,Campaign,Criterion Type,Max CPC,Match Type,First Page Bid,Top of Page Bid,Quality Score,Status,Labels,Final URL
"webp to png converter","WebP to PNG - General","ConvertMyFile - WebP to PNG - AU",Keyword,2.50,Exact match,1.20,3.50,8,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/webp-to-png
"convert webp to png","WebP to PNG - General","ConvertMyFile - WebP to PNG - AU",Keyword,2.50,Phrase match,1.00,3.00,7,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/webp-to-png
"+webp +png +converter","WebP to PNG - General","ConvertMyFile - WebP to PNG - AU",Keyword,2.00,Broad match,0.80,2.50,6,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/webp-to-png
"webp to png online","WebP to PNG - General","ConvertMyFile - WebP to PNG - AU",Keyword,2.75,Exact match,1.50,4.00,9,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/webp-to-png
"webp to png photography","WebP to PNG - Photography","ConvertMyFile - WebP to PNG - AU",Keyword,3.00,Phrase match,1.25,3.75,7,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/webp-to-png
"convert webp images","WebP to PNG - Photography","ConvertMyFile - WebP to PNG - AU",Keyword,2.75,Phrase match,1.10,3.25,8,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/webp-to-png
"webp to png for web","WebP to PNG - Web Design","ConvertMyFile - WebP to PNG - AU",Keyword,2.75,Phrase match,1.30,3.50,8,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/webp-to-png
"heic to jpg converter","HEIC to JPG - iPhone Users","ConvertMyFile - HEIC to JPG - AU",Keyword,3.50,Exact match,2.00,5.00,9,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/heic-to-jpg
"iphone heic to jpg","HEIC to JPG - iPhone Users","ConvertMyFile - HEIC to JPG - AU",Keyword,3.25,Phrase match,1.75,4.50,8,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/heic-to-jpg
"convert heic to jpg","HEIC to JPG - General","ConvertMyFile - HEIC to JPG - AU",Keyword,2.00,Phrase match,1.00,2.75,7,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/heic-to-jpg
"+heic +jpg +converter","HEIC to JPG - General","ConvertMyFile - HEIC to JPG - AU",Keyword,1.75,Broad match,0.75,2.25,6,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/heic-to-jpg
"heic to jpg online","HEIC to JPG - General","ConvertMyFile - HEIC to JPG - AU",Keyword,2.25,Exact match,1.25,3.25,8,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/heic-to-jpg
"share heic as jpg","HEIC to JPG - Photo Sharing","ConvertMyFile - HEIC to JPG - AU",Keyword,2.50,Phrase match,1.20,3.00,7,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/heic-to-jpg
"pdf to jpg converter","PDF to JPG - Business","ConvertMyFile - PDF to JPG - AU",Keyword,4.00,Exact match,2.50,6.00,9,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/pdf-to-jpg
"pdf to image business","PDF to JPG - Business","ConvertMyFile - PDF to JPG - AU",Keyword,3.75,Phrase match,2.25,5.50,8,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/pdf-to-jpg
"pdf to jpg for students","PDF to JPG - Students","ConvertMyFile - PDF to JPG - AU",Keyword,1.50,Phrase match,0.75,2.00,7,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/pdf-to-jpg
"convert pdf to jpg","PDF to JPG - General","ConvertMyFile - PDF to JPG - AU",Keyword,2.25,Phrase match,1.25,3.00,8,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/pdf-to-jpg
"webp to png converter","WebP to PNG - General","ConvertMyFile - WebP to PNG - US",Keyword,2.00,Exact match,1.00,3.00,8,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/webp-to-png
"convert webp to png","WebP to PNG - General","ConvertMyFile - WebP to PNG - US",Keyword,2.00,Phrase match,0.85,2.75,7,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/webp-to-png
"heic to jpg converter","HEIC to JPG - iPhone Users","ConvertMyFile - HEIC to JPG - US",Keyword,3.00,Exact match,1.75,4.50,9,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/heic-to-jpg
"iphone heic to jpg","HEIC to JPG - iPhone Users","ConvertMyFile - HEIC to JPG - US",Keyword,2.75,Phrase match,1.50,4.00,8,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/heic-to-jpg
"convert heic to jpg","HEIC to JPG - General","ConvertMyFile - HEIC to JPG - US",Keyword,1.75,Phrase match,0.85,2.50,7,Enabled,LBA_SEO_ADS_EXPERT_2025-01-07,https://convertmyfile.com/heic-to-jpg
